,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
54203,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,10,4105,20220315,ELECTION DAY
54204,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,4105,20220315,PROV
54205,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,259,4105,20220315,ABSENTEE
54206,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1431,4105,20220315,ADVANCED VOTING
54207,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,466,4105,20220315,ELECTION DAY
54208,2020,GEORGIA,GA,DOOLY,13093.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,4105,20220315,PROV
54209,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8052,35311,20220315,ABSENTEE
54210,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,9124,35311,20220315,ADVANCED VOTING
54211,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7317,35311,20220315,ELECTION DAY
54212,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,84,35311,20220315,PROV
54213,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,70,35311,20220315,ABSENTEE
54214,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,74,35311,20220315,ADVANCED VOTING
54215,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,133,35311,20220315,ELECTION DAY
54216,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,3,35311,20220315,PROV
54217,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2355,35311,20220315,ABSENTEE
54218,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3818,35311,20220315,ADVANCED VOTING
54219,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4259,35311,20220315,ELECTION DAY
54220,2020,GEORGIA,GA,DOUGHERTY,13095.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,22,35311,20220315,PROV
54221,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13998,69097,20220315,ABSENTEE
54222,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,22804,69097,20220315,ADVANCED VOTING
54223,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5963,69097,20220315,ELECTION DAY
54224,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,44,69097,20220315,PROV
54225,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,227,69097,20220315,ABSENTEE
54226,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,349,69097,20220315,ADVANCED VOTING
54227,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,259,69097,20220315,ELECTION DAY
54228,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,2,69097,20220315,PROV
54229,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5434,69097,20220315,ABSENTEE
54230,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,15139,69097,20220315,ADVANCED VOTING
54231,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4863,69097,20220315,ELECTION DAY
54232,2020,GEORGIA,GA,DOUGLAS,13097.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,15,69097,20220315,PROV
54233,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,684,5187,20220315,ABSENTEE
54234,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1107,5187,20220315,ADVANCED VOTING
54235,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,646,5187,20220315,ELECTION DAY
54236,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,5187,20220315,PROV
54237,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,6,5187,20220315,ABSENTEE
54238,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,15,5187,20220315,ADVANCED VOTING
54239,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,7,5187,20220315,ELECTION DAY
54240,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,5187,20220315,PROV
54241,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,416,5187,20220315,ABSENTEE
54242,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1504,5187,20220315,ADVANCED VOTING
54243,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,799,5187,20220315,ELECTION DAY
54244,2020,GEORGIA,GA,EARLY,13099.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,5187,20220315,PROV
54245,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,32,1441,20220315,ABSENTEE
54246,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,102,1441,20220315,ADVANCED VOTING
54247,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,33,1441,20220315,ELECTION DAY
54248,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,1441,20220315,PROV
54249,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,3,1441,20220315,ABSENTEE
54250,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,11,1441,20220315,ADVANCED VOTING
54251,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,4,1441,20220315,ELECTION DAY
54252,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,1441,20220315,PROV
54253,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,121,1441,20220315,ABSENTEE
54254,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,909,1441,20220315,ADVANCED VOTING
54255,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,226,1441,20220315,ELECTION DAY
54256,2020,GEORGIA,GA,ECHOLS,13101.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,1441,20220315,PROV
54257,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2333,31570,20220315,ABSENTEE
54258,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3623,31570,20220315,ADVANCED VOTING
54259,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1752,31570,20220315,ELECTION DAY
54260,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12,31570,20220315,PROV
54261,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,92,31570,20220315,ABSENTEE
54262,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,167,31570,20220315,ADVANCED VOTING
54263,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,233,31570,20220315,ELECTION DAY
54264,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,31570,20220315,PROV
54265,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2520,31570,20220315,ABSENTEE
54266,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,13471,31570,20220315,ADVANCED VOTING
54267,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7350,31570,20220315,ELECTION DAY
54268,2020,GEORGIA,GA,EFFINGHAM,13103.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,17,31570,20220315,PROV
54269,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1082,9171,20220315,ABSENTEE
54270,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1268,9171,20220315,ADVANCED VOTING
54271,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,529,9171,20220315,ELECTION DAY
54272,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,9171,20220315,PROV
54273,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,13,9171,20220315,ABSENTEE
54274,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,23,9171,20220315,ADVANCED VOTING
54275,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,30,9171,20220315,ELECTION DAY
54276,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,9171,20220315,PROV
54277,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,981,9171,20220315,ABSENTEE
54278,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3408,9171,20220315,ADVANCED VOTING
54279,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1837,9171,20220315,ELECTION DAY
54280,2020,GEORGIA,GA,ELBERT,13105.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,9171,20220315,PROV
54281,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,808,9501,20220315,ABSENTEE
54282,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1234,9501,20220315,ADVANCED VOTING
54283,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,842,9501,20220315,ELECTION DAY
54284,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,9501,20220315,PROV
54285,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,7,9501,20220315,ABSENTEE
54286,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,22,9501,20220315,ADVANCED VOTING
54287,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,36,9501,20220315,ELECTION DAY
54288,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1,9501,20220315,PROV
54289,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,896,9501,20220315,ABSENTEE
54290,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3126,9501,20220315,ADVANCED VOTING
54291,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2528,9501,20220315,ELECTION DAY
54292,2020,GEORGIA,GA,EMANUEL,13107.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,9501,20220315,PROV
54293,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,347,4247,20220315,ABSENTEE
54294,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,741,4247,20220315,ADVANCED VOTING
54295,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,236,4247,20220315,ELECTION DAY
54296,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,4247,20220315,PROV
54297,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,12,4247,20220315,ABSENTEE
54298,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,11,4247,20220315,ADVANCED VOTING
54299,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,12,4247,20220315,ELECTION DAY
54300,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,4247,20220315,PROV
54301,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,491,4247,20220315,ABSENTEE
54302,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1926,4247,20220315,ADVANCED VOTING
54303,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,471,4247,20220315,ELECTION DAY
54304,2020,GEORGIA,GA,EVANS,13109.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,4247,20220315,PROV
54305,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1159,14850,20220315,ABSENTEE
54306,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1028,14850,20220315,ADVANCED VOTING
54307,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,384,14850,20220315,ELECTION DAY
54308,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,14850,20220315,PROV
54309,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,32,14850,20220315,ABSENTEE
54310,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,35,14850,20220315,ADVANCED VOTING
54311,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,43,14850,20220315,ELECTION DAY
54312,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,14850,20220315,PROV
54313,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2253,14850,20220315,ABSENTEE
54314,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5730,14850,20220315,ADVANCED VOTING
54315,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4163,14850,20220315,ELECTION DAY
54316,2020,GEORGIA,GA,FANNIN,13111.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,23,14850,20220315,PROV
54317,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11152,71993,20220315,ABSENTEE
54318,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,18443,71993,20220315,ADVANCED VOTING
54319,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3400,71993,20220315,ELECTION DAY
54320,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,70,71993,20220315,PROV
54321,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,232,71993,20220315,ABSENTEE
54322,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,463,71993,20220315,ADVANCED VOTING
54323,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,279,71993,20220315,ELECTION DAY
54324,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,2,71993,20220315,PROV
54325,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7382,71993,20220315,ABSENTEE
54326,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,24162,71993,20220315,ADVANCED VOTING
54327,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6352,71993,20220315,ELECTION DAY
54328,2020,GEORGIA,GA,FAYETTE,13113.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,56,71993,20220315,PROV
54329,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3976,41648,20220315,ABSENTEE
54330,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5820,41648,20220315,ADVANCED VOTING
54331,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2154,41648,20220315,ELECTION DAY
54332,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,58,41648,20220315,PROV
54333,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,98,41648,20220315,ABSENTEE
54334,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,220,41648,20220315,ADVANCED VOTING
54335,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,199,41648,20220315,ELECTION DAY
54336,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,41648,20220315,PROV
54337,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4436,41648,20220315,ABSENTEE
54338,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16678,41648,20220315,ADVANCED VOTING
54339,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7897,41648,20220315,ELECTION DAY
54340,2020,GEORGIA,GA,FLOYD,13115.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,112,41648,20220315,PROV
54341,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,15682,129305,20220315,ABSENTEE
54342,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,23125,129305,20220315,ADVANCED VOTING
54343,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3375,129305,20220315,ELECTION DAY
54344,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,21,129305,20220315,PROV
54345,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,477,129305,20220315,ABSENTEE
54346,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1087,129305,20220315,ADVANCED VOTING
54347,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,415,129305,20220315,ELECTION DAY
54348,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1,129305,20220315,PROV
54349,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,14612,129305,20220315,ABSENTEE
54350,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,60739,129305,20220315,ADVANCED VOTING
54351,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,9740,129305,20220315,ELECTION DAY
54352,2020,GEORGIA,GA,FORSYTH,13117.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,31,129305,20220315,PROV
54353,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,598,10765,20220315,ABSENTEE
54354,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,647,10765,20220315,ADVANCED VOTING
54355,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,348,10765,20220315,ELECTION DAY
54356,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,10765,20220315,PROV
54357,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,25,10765,20220315,ABSENTEE
54358,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,47,10765,20220315,ADVANCED VOTING
54359,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,31,10765,20220315,ELECTION DAY
54360,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,0,10765,20220315,PROV
54361,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1404,10765,20220315,ABSENTEE
54362,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5364,10765,20220315,ADVANCED VOTING
54363,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2299,10765,20220315,ELECTION DAY
54364,2020,GEORGIA,GA,FRANKLIN,13119.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2,10765,20220315,PROV
54365,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,115788,524659,20220315,ABSENTEE
54366,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,224688,524659,20220315,ADVANCED VOTING
54367,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,38143,524659,20220315,ELECTION DAY
54368,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2525,524659,20220315,PROV
54369,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1727,524659,20220315,ABSENTEE
54370,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,3004,524659,20220315,ADVANCED VOTING
54371,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1448,524659,20220315,ELECTION DAY
54372,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,96,524659,20220315,PROV
54373,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,29479,524659,20220315,ABSENTEE
54374,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,87293,524659,20220315,ADVANCED VOTING
54375,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,19552,524659,20220315,ELECTION DAY
54376,2020,GEORGIA,GA,FULTON,13121.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,916,524659,20220315,PROV
54377,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1270,16525,20220315,ABSENTEE
54378,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1209,16525,20220315,ADVANCED VOTING
54379,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,453,16525,20220315,ELECTION DAY
54380,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,0,16525,20220315,PROV
54381,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,35,16525,20220315,ABSENTEE
54382,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,64,16525,20220315,ADVANCED VOTING
54383,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,64,16525,20220315,ELECTION DAY
54384,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1,16525,20220315,PROV
54385,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2183,16525,20220315,ABSENTEE
54386,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6863,16525,20220315,ADVANCED VOTING
54387,2020,GEORGIA,GA,GILMER,13123.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4371,16525,20220315,ELECTION DAY
