facility ID,facility name,,telehealth clinic only,full address,street address,city,state,zip code,latitude,longitude,phone number,website,open in 2021,provided abortions in 2021,provided MAB in 2021,MAB gestational limit in 2021,median state cost for medication abortion in 2021,provided procedural abortion in 2021,procedural abortion gestational limit in 2021,median state cost for first trimester procedural abortion in 2021,median state cost for second trimester procedural abortion in 2021,date facility opened,facility closure date/info,date of last facility update
340,Her Smart Choice: San Fernando,,,"418 San Fernando Mission Blvd, San Fernando, CA 91340",418 San Fernando Mission Blvd,San Fernando,CA,91340,34.2828,-118.445,818-272-8677 / 323-328-8005,https://hersmartchoice.com/locations/san-fernando/,no,no,Yes,10,700,Yes,14,750,926,,,9/24/2021 (phone)
341,Her Smart Choice: Van Nuys,,,"7220 Woodman Ave, Suite 106, Van Nuys, CA 91405","7220 Woodman Ave, Suite 106",Van Nuys,CA,91405,34.2019,-118.431,818-714-8188 / 323-300-2198,https://hersmartchoice.com/locations/van-nuys/,yes,yes,Yes,11,700,No,,750,926,,,9/24/2021 (phone)
342,Heritage Clinic for Women,,,"320 East Fulton, Grand Rapids, MI, 49503",320 East Fulton,Grand Rapids,MI,49503,42.963,-85.6614,(616) 458-3694,https://www.heritageclinic.com/,yes,yes,Yes,10,550,Yes,22,550,675,,,12/29/21
343,Hillcrest Clinic,,,"PO Box 62854, Virginia Beach, VA 23466",PO Box 62854,Virginia Beach,VA,23466,,,(757) 461-0011,www.thehillcrestclinic.com,no,no,,,433,,,450,850,,2013,8/1/19
344,Hilltop Women's Reproductive Clinic: El Paso,,,"500 E. Schuster Ave., Suite B, El Paso, TX 79902","500 E. Schuster Ave., Suite B",El Paso,TX,79902,31.7714,-106.494,(915) 542-2811,http://www.hilltopwomensreproductive.com,yes,yes,Yes,5.6,650,Yes,5.6,715,850,,,12/29/21
345,Women's Reproductive Clinic of New Mexico,,,"5290 McNutt Road, Suite 106, Sunland Park, NM 88008","5290 McNutt Road, Suite 103",Sunland Park,NM,88008,31.8483,-106.625,(575) 332-9452,https://www.reproductiveservices.com/,yes,yes,Yes,10,560,No,,560,725,,,12/29/21
347,Hope Clinic For Women,,,"1602 21st Street, Granite City, IL 62040",1602 21st Street,Granite City,IL,62040,38.7006,-90.1445,(618) 451-5722,http://www.hopeclinic.com/,yes,yes,Yes,11,470,Yes,24,480,1385,,,12/22/21
348,Hope Medical Group For Women,,,"210 Kings Highway, Shreveport, LA 71104",210 Kings Highway,Shreveport,LA,71104,32.4818,-93.7342,(318) 221-5500,https://www.hopemedical.com/,yes,yes,Yes,8,600,Yes,16.5,963,,,,12/22/21
349,Houston Women's Clinic,,,"4820 San Jacinto, Houston, TX 77004",4820 San Jacinto,Houston,TX,77004,29.7299,-95.3839,(713) 868-4483,http://www.houstonwomensclinic.com/,yes,yes,Yes,5.6,650,Yes,5.6,715,850,,,12/29/21
350,Houston Women's Reproductive Services,,,"5225 Katy Freeway, Suite 370, Houston, TX 77007","5225 Katy Freeway, Suite 370",Houston,TX,77007,29.7769,-95.4141,(281) 501-2197,https://houstonwomensreproductiveservices.com/,yes,yes,Yes,5.6,650,No,5.6,715,850,2019,,12/29/21
351,Illinois Abortion Clinics: ACU Health Center,,,"736 N. York Road, Hinsdale, IL 60521",736 N. York Road,Hinsdale,IL,60521,41.8155,-87.9255,(630) 794-0645,http://www.acuhealthcenter.com,no,no,,,470,,,480,1385,,2015,7/20/2021 (web only)
352,Illinois Abortion Clinics: Aanchor Health Center,,,"1186 Roosevelt Road, Glen Ellyn, IL 60137",1186 Roosevelt Road,Glen Ellyn,IL,60137,41.8598,-88.032,(630) 495-4400,http://www.aanchorhealthcenter.com/,no,no,,,470,,,480,1385,,,7/20/2021 (web only)
353,Illinois Abortion Clinics: Access Health Center,,,"1700 75th Street, Downers Grove, IL 60516",1700 75th Street,Downers Grove,IL,60516,41.751,-88.0252,(630) 964-0000,http://www.accesshealthcenter.net,yes,yes,Yes,10,470,Yes,16.3,480,1385,,,12/22/21
354,Illinois Abortion Clinics: Advantage Healthcare,,,"203 E Irving Park Road, Wood Dale, IL 60191",203 E Irving Park Road,Wood Dale,IL,60191,41.9629,-87.9743,(630) 595-1515,http://www.advantagehealthcareltd.com/,yes,yes,Yes,10,470,Yes,16,480,1385,,,12/22/21
355,Illinois Abortion Clinics: Forest View Medical Center,,,"750 S River Road, Des Plaines, IL 60018",750 S River Road,Des Plaines,IL,60018,42.0403,-87.8837,(847) 375-1000,http://www.forestviewmedical.com/,no,no,,,470,,,480,1385,,2014,7/20/2021 (web only)
356,Illinois Abortion Clinics: Michigan Ave Center for Health,,,"2415 S. Michigan Avenue, Chicago, IL 60616",2415 S. Michigan Avenue,Chicago,IL,60616,41.8488,-87.6236,(312) 328-1200,http://www.michiganavenuecenterforhealth.com/,no,no,,,470,,,480,1385,,,12/22/21
358,Integrated OB/GYN Services,,,"7610 Pennsylvania Ave, Suite 305, Forrestville, MD 20747","7610 Pennsylvania Ave, Suite 305",Forrestville,MD,20747,38.8418,-76.8766,(301) 377-6703,http://abortionchoicesmd.com/,no,no,,,390,,,431,922,,2017,12/29/21
359,Integrated OB/GYN Services: Hyattsville,,,"3321 Toledo Terrace, Suite D102, Hyattsville, MD 20782","3321 Toledo Terrace, Suite D102",Hyattsville,MD,20782,38.9691,-76.9616,(202) 829-5620,,no,no,,,390,,,431,922,,,12/29/21
360,International Healthcare Solutions: Dr. Peter Kropf,,,"9805 Anderson Mill Rd, Austin, TX 78750",9805 Anderson Mill Rd,Austin,TX,78750,30.4472,-97.7957,(512) 331-6651,http://abortionclinicinaustin.com/,no,no,,,650,,,715,850,,2014,12/29/21
361,Jackson Women's Health Organization,,,"2903 North State Street, Jackson, MS 39216",2903 North State Street,Jackson,MS,39216,32.3346,-90.1767,(601) 366-2261,http://www.jacksonwomenshealth.com/,yes,yes,Yes,11,600,Yes,16,650,750,,,12/23/21
362,Jersey GYN: Hudson County,,,"271 Newark Ave, Jersey City, NJ 07302",271 Newark Ave,Jersey City,NJ,7302,40.7232,-74.0494,(201) 332-2002,http://www.jerseygyn.com/,yes,yes,Yes,9,490,Yes,14,400,700,,,9/20/21
363,Jersey GYN: Union,,,"1323 Stuyvesant Avenue, Union, NJ 07083",1323 Stuyvesant Avenue,Union,NJ,7083,40.7017,-74.2641,(908) 686-2563,http://www.jerseygyn.com/,yes,yes,Yes,9,490,Yes,14,400,700,,,9/20/21
365,Joan G. Lovering Health Center,,,"559 Portsmouth Ave, Greenland, NH 03840",559 Portsmouth Ave,Greenland,NH,3840,43.0366,-70.8367,(603) 436-7588,https://joangloveringhealthcenter.org/,yes,yes,Yes,9,555,Yes,14.6,600,,,,12/30/21
367,Johns Hopkins Bayview Medical Center: Women's Center for Family Planning,,,"4940 Eastern Ave., Baltimore, MD 21224",4940 Eastern Ave.,Baltimore,MD,21224,39.2874,-76.5496,(410) 550-9840,http://www.hopkinsmedicine.org/johns_hopkins_bayview/medical_services/primary_care/obstetrics_gynecology/clinical_services/gynecology/family_planning.html,yes,no,Yes,10,390,Yes,20,431,922,,,12/29/21
369,Johnson's Women's Health Center,,,"3794 Martin Luther King Jr Ave SE Suite 100, Washington, DC 20032",3794 Martin Luther King Jr Ave SE Suite 100,Washington,DC,20032,38.8359,-77.0076,(202) 563-1300,https://health.usnews.com/doctors/harold-johnson-607782,no,no,,,410,,,510,825,,,7/18/2021 (web only)
373,Kanawha Surgicenter,,,"5003 Venable Avenue, SE., Suite A, Charleston, WV 25304","5003 Venable Avenue, SE., Suite A",Charleston,WV,25304,38.3183,-81.5783,(304) 925-6390,http://www.kanawhasurgicenter.com/,no,no,,,495,,,625,,,7/9/05,7/31/19
374,"Kathleen G. Todd, MD",,,"PO Box 1829, Valdez, AK 99686",1001 Meals Avenue,Valdez,AK,99686,61.137,-146.35,(907) 835-4811,https://www.providence.org/doctors/profile/351248-kathleen-g-todd,yes,yes,Yes,10,800,Yes,13.6,800,,,,9/13/2021 (phone)
375,Kenneth S Chang MD,,,"3144 John F. Kennedy Blvd., Jersey City, NJ 07305",3144 John F. Kennedy Blvd.,Jersey City,NJ,7305,40.7403,-74.0613,(201) 792-9339,http://jerseycityobgyn.com/,no,no,No,,490,No,,400,700,,,9/20/21
376,Killeen Women's Health Center,,,"3106 S. W.S. Young Drive, #C-302, Killeen, TX 76542","3106 S. W.S. Young Drive, #C-302",Killeen,TX,76542,31.0841,-97.7213,(254) 200-0700,,no,no,,,650,,,715,850,,2014,12/29/21
377,Knoxville Center for Reproductive Health,,,"1547 W. Clinch Avenue, Knoxville, TN 37916",1547 W. Clinch Avenue,Knoxville,TN,37916,35.9595,-83.9302,(865) 637-3861,http://www.kcrh.com,yes,yes,Yes,10.6,600,Yes,15.6,701,850,,,12/30/21
378,Laconia Family Planning,,,"121 Belmont Road, Laconia, NH 03246",121 Belmont Road,Laconia,NH,3246,43.5159,-71.4605,(603) 524-5453,http://www.bm-cap.org/fplanning-Laconia.htm,yes,no,,,555,,,600,,,,12/30/21
379,Liberty Women's Health Care,,,"3701 Main Street, Flushing, NY 11354",3701 Main Street,Flushing,NY,11354,40.7615,-73.831,(718) 888-0018,,no,no,,,580,,,580,600,,2016,12/28/21
381,Little Rock Family Planning Services,,,"4 Office Park Drive, Little Rock, AR 72211",4 Office Park Drive,Little Rock,AR,72211,34.7467,-92.3971,(501) 225-3836,https://lrfps.com/,yes,yes,Yes,10,722,Yes,21,1300,,,,9/13/2021 (phone)
385,Lilith Clinic,,,"933 NW 25th Avenue, Portland, OR 97210",511 SW 10th Ave #904,Portland,OR,97205,45.5213,-122.682,(503) 221-1870,https://www.lilithclinic.com/,yes,yes,Yes,11.6,650,Yes,22.6,700,925,,,12/22/21
386,Mabel Wadworth's Women's Health Center,,,"700 Mount Hope Avenue, Suite 420, Bangor ME 04401","700 Mount Hope Avenue, Suite 420",Bangor,ME,4401,44.8236,-68.7353,(207) 947-5337,http://www.mabelwadsworth.org/,yes,yes,Yes,11,500,Yes,14,525,763,,,12/22/21
387,Maine Family Planning: Augusta Family Planning,,,"43 Gabriel Drive, Augusta, ME, 04330",43 Gabriel Drive,Augusta,ME,4330,44.3682,-69.7951,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,Yes,14,525,763,,,12/22/21
388,Maine Family Planning: Bangor Family Planning,,,"68 Mount Hope Avenue, Bangor, ME 04401",68 Mount Hope Avenue,Bangor,ME,4401,44.813,-68.7633,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
389,Maine Family Planning: Belfast Family Planning,,,"147 Waldo Avenue, Belfast, ME 04915",147 Waldo Avenue,Belfast,ME,4915,44.4324,-69.0192,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
390,Maine Family Planning: Calais Family Planning,,,"10 Barker St Suite D, Calais, ME 04619","10 Barker Street, Suite D",Calais,ME,4619,45.186,-67.2678,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
391,Maine Family Planning: Damariscotta Family Planning,,,"767 Main Street, Damariscotta, ME 04543",767 Main Street,Damariscotta,ME,4543,44.052,-69.5014,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
392,Maine Family Planning: Dexter Family Planning,,,"311 Corinna Road, Dexter, ME 04930",311 Corinna Road,Dexter,ME,4930,45.0082,-69.2828,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
393,Maine Family Planning: Ellsworth Family Planning and Primary Care,,,"248 State Street, Ellsworth, ME 04605",248 State Street,Ellsworth,ME,4605,44.5516,-68.4284,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
394,Maine Family Planning: Farmington Family Planning,,,"193 Front Street, Farmington, ME 04938",193 Front Street,Farmington,ME,4938,44.6688,-70.1515,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
395,Maine Family Planning: Fort Kent Family Planning,,,"139 Market Street, Fort Kent, ME 04743",139 Market Street,Fort Kent,ME,4743,47.2512,-68.5798,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
396,Maine Family Planning: Houlton Family Planning,,,"91 Military Street, Houlton, ME 04730",91 Military Street,Houlton,ME,4730,46.1247,-67.8314,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
397,Maine Family Planning: Lewiston Family Planning,,,"179 Lisbon Street, Lewiston, ME 04240",179 Lisbon Street,Lewiston,ME,4240,44.0957,-70.2168,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
398,Maine Family Planning: Machias Family Planning,,,"247 Main Street, Machias, ME 04654",247 Main Street,Machias,ME,4654,44.7231,-67.4401,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
399,Maine Family Planning: Norway Family Planning,,,"9 Marston Street, Norway, ME 04268",9 Marston Street,Norway,ME,4268,44.2126,-70.5362,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
400,Maine Family Planning: Presque Isle Family Planning,,,"5 Martin Street, Presque Isle, ME 04769",5 Martin Street,Presque Isle,ME,4769,46.6881,-68.0098,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
401,Maine Family Planning: Rockland Family Planning,,,"22 White Street, Rockland, ME 04841",22 White Street,Rockland,ME,4841,44.1053,-69.1128,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
402,Maine Family Planning: Rumford Family Planning,,,"218 Penobscot Street, Rumford, ME 04276",218 Penobscot Street,Rumford,ME,4276,44.5492,-70.5514,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
403,Maine Family Planning: Skowhegan Family Planning,,,"188 Madison Avenue, Skowhegan, ME 04976",188 Madison Avenue,Skowhegan,ME,4976,44.7742,-69.7236,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
404,Maine Family Planning: Waterville Family Planning,,,"18 Silver Street, Waterville, ME 04901",18 Silver Street,Waterville,ME,4901,44.5487,-69.6305,(207) 922-3222,http://www.mainefamilyplanning.org,yes,yes,Yes,10,500,No,,525,763,,,12/22/21
406,Manchester OB/GYN Associates: Londonderry,,,"77 Gilcreast Road, Suite 1000, Londonderry, NH 03053","77 Gilcreast Road, Suite 1000",Londonderry,NH,3053,42.866,-71.3506,(603) 622-3162,http://www.manchesterob.com/,yes,yes,Yes,9,555,Yes,12,600,,2016,,12/30/21
407,Manchester OB/GYN Associates: Manchester,,,"150 Tarrytown Rd, Manchester, NH 03103",150 Tarrytown Rd,Manchester,NH,3103,42.9835,-71.435,(603) 622-3162,http://www.manchesterob.com/,yes,yes,Yes,9,555,Yes,12,600,,,,12/30/21
408,Manhattan Women's Medical,,,"461 Park Avenue, 11th Floor, New York, NY 10022","461 Park Avenue, 11th Floor",New York,NY,10022,40.7616,-73.9705,(212) 473-6600,http://www.manhattanwomensmedical.com,no,no,,,580,,,580,600,,,12/28/21
409,Marina Women's Medical Group,,,"4560 Admiralty Way, Los Angeles, CA 90292","4560 Admiralty Way, Suite 303",Los Angeles,CA,90292,33.9832,-118.443,(310) 822-5066,https://worldwidewomen.co/organizations/4880/marina-womens-medical-group || https://www.facebook.com/MarinaWomensMedicalGroup/about/ || https://gene-parks-md-marina-womens-medical-group.business.site/#gallery,yes,no,,7,700,,,750,926,,,6/7/2021 (web only)
410,Maryland Abortion Pill Center,,,"11031 Lockwood Dr., Silver Spring, MD 20910",11031 Lockwood Dr.,Silver Spring,MD,20901,39.0374,-76.995,(301) 593-7136,http://www.abortionpill-md.com/,yes,yes,Yes,10,390,,,431,922,,,12/29/21
411,Massachusetts General Hospital,,,"55 Fruit Street, Boston, MA 02114",55 Fruit Street,Boston,MA,2114,42.3625,-71.0693,(617) 726-2000,http://www.massgeneral.org/,yes,no,,,650,,,700,725,,,12/27/21
412,Mayfair Women's Center,,,"14446 East Evans Avenue, Aurora, CO 80014",14446 East Evans Avenue,Aurora,CO,80014,39.6787,-104.821,(303) 696-9761,http://www.mayfairwomenscenter.com/,no,no,,,458,,,747,2100,,,7/17/2021 (web only)
417,Memphis Area Medical Center for Women,,,"29 S Bellevue Blvd, Memphis, TN 38104",29 S Bellevue Blvd,Memphis,TN,38104,35.1384,-90.021,(901) 328-9232,http://www.memphisabortionservicestn.com/,no,no,,,600,,,701,850,,,12/30/21
418,Metro West Women's Health,,,"67 Union St., Natick, MA 01760",67 Union St.,Natick,MA,1760,42.2812,-71.3338,(508) 545-2870,http://www.metrowestwomenshealth.com/,no,no,,,650,,,700,725,,,12/27/21
419,Metropolitan Family Planning Clinic: Camp Springs,,,"Princeton Executive Square, 5625 Allentown Rd.Suite #203, Camp Springs, MD 20746","Princeton Executive Square, 5625 Allentown Rd.Suite #203",Camp Springs,MD,20746,38.8102,-76.8966,(301) 423-3313 or (800) 699-7003,http://mfpiclinic.com,yes,yes,Yes,10,390,Yes,17,431,922,,,12/29/21
420,Metropolitan Family Planning Clinic: College Park,,,"5915 Greenbelt Rd, College Park, MD 20740",5915 Greenbelt Rd,College Park,MD,20740,38.9979,-76.9127,(301) 474-5300 or (800) 341-0004,http://www.mfpiclinic.com,yes,yes,Yes,10,390,Yes,17,431,922,,,12/29/21
421,Metropolitan Family Planning Clinic: Gaithersburg,,,"9063 Shady Grove Court, Gaithersburg, MD 20877",9063 Shady Grove Court,Gaithersburg,MD,20877,39.1198,-77.1837,(301) 921-0077 or (800) 335-1050,http://mfpiclinic.com/,yes,yes,Yes,10,390,Yes,17,431,922,,,12/29/21
422,Metropolitan Medical Associates,,,"40 Engle Street, Englewood, NJ 07631",40 Engle Street,Englewood,NJ,7631,40.8943,-73.9724,(201) 567-0522,http://metropolitanmedicalassociates.com/,yes,yes,Yes,8,490,Yes,24,400,700,,,9/20/21
423,"Michael Benjamin, MD, F.A.C.O.G./bssicare",,,"7777 North University Drive, Suite 102, Ft. Lauderdale, FL 33321","7777 North University Drive, Suite 102",Ft. Lauderdale,FL,33321,26.2182,-80.2528,(954) 720-7777,http://www.drbenjamin.com/; http://bssicare.com/,yes,yes,Yes,10,543,Yes,24,550,650,,,12/23/21
424,Michiana Abortion Clinic,,,"703 E Main St, Niles, MI, 49120",703 E Main St,Niles,MI,49120,41.8295,-86.2512,(269) 683-6100,,no,no,,,550,,,550,675,,2012,12/29/21
425,"Midtown Medical, LLC",,,"3500 Saint Charles Ave, Ste 100, New Orleans, LA 70115","3500 Saint Charles Ave, Ste 100",New Orleans,LA,70115,29.9276,-90.0928,(504) 895-0990,,no,no,,,600,,,963,,,2013,12/22/21
426,"Mildred S. Hanson, MD",,,"710 East 24th Street, Suite 403, Minneapolis, MN 55404","710 East 24th Street, Suite 403",Minneapolis,MN,55404,44.9592,-93.2649,(612) 870-1334,http://www.drmilliehanson.com/,no,no,,,650,,,700,748,,,12/27/21
427,Mile High OB/GYN Associates PC: Denver,,,"425 S. Cherry Street, Suite 300, Denver, CO 80246","425 S. Cherry Street, Suite 300",Denver,CO,80246,39.7089,-104.933,(303) 388-4631,http://www.milehighobgyn.com/,yes,yes,Yes,10,458,Yes,12,747,2100,,,10/04/2021 (phone)
428,Mile High OB/GYN Associates PC: Englewood,,,"8200 E Belleview Ave., Suite #320, Englewood, CO 80111","8200 E Belleview Ave., Suite #320",Englewood,CO,80111,39.624,-104.894,(303) 221-1611,http://milehighobgyn.com/abortion,yes,yes,Yes,10,458,Yes,12,747,2100,,,10/04/2021 (phone)
429,Millennium Women Center Inc.,,,"9370 SW 72nd St A104, Miami, FL 33173",9370 SW 72nd St A104,Miami,FL,33173,25.7017,-80.3458,(305) 412-4929,none,yes,yes,Yes,8,543,Yes,10,550,650,,,12/23/21
430,Miramar Women's Center,,,"6161 Miramar Parkway, Suite 300, Miramar, FL 33023","6161 Miramar Parkway, Suite 300",Miramar,FL,33023,25.9847,-80.2104,(954) 986-0030,http://www.miramarwomencenter.com,yes,yes,Yes,8,543,Yes,22,550,650,2014,,12/23/21
431,Monmouth Medical Center,,,"300 2nd Ave, Long Branch, NJ, 07740",300 2nd Ave,Long Branch,NJ,7740,40.2956,-73.9837,(732) 923-6990,http://www.barnabashealth.org/Monmouth-Medical-Center.aspx?redirect_referrer=https%3a%2f%2fwww.google.com%2f,yes,no,,,490,,,400,700,,,8/14/20
432,Mount Auburn Hospital,,,"330 Mount Auburn St, Cambridge, MA 02138",330 Mount Auburn St,Cambridge,MA,2138,42.3749,-71.1341,(617) 499-5151,http://www.mountauburnhospital.org/,yes,yes,Yes,9,650,Yes,22.5,700,725,,,12/27/21
433,Mount Sinai Beth Israel - Family Planning Center,,,"1st Ave at 16th St., Silver Bldg 5th Flr., New York, NY 10003","1st Ave at 16th St., Silver Bldg 5th Flr.",New York,NY,10003,40.7327,73.9816,(212) 844-5570,http://www.bimc-obgyn.com/family-planning.html,yes,no,Yes,9,580,Yes,24,580,600,,,12/29/21
435,Mountain Country Women's Clinic,,,"PO Box 1780, Livingston, MT 59047",PO Box 1780,Livingston,MT,59047,45.6596,-110.566,(406) 222-7555,http://033bd8d.netsolhost.com/WordPress/about-our-clinic/,no,no,,,555,,,795,,,2013,7/22/20
436,Mountain View Women's Center,,,"1345 E 3900 S, Ste 104, Salt Lake City, UT 84124","1345 E 3900 S, Ste 104",Salt Lake City,UT,84124,40.6871,-111.853,(801) 272-5289,http://www.vitals.com/doctors/Dr_William_R_Adams_2/profile,no,no,,,450,,,500,,,,7/22/20
437,Mt. Baker Planned Parenthood: Bellingham Health Center,,,"1530 Ellis Street, Bellingham, WA 98225",1530 Ellis Street,Bellingham,WA,98225,48.75,-122.472,(360) 734-9095,https://www.plannedparenthood.org/health-center/washington/bellingham/98225/bellingham-health-center-2454-91780,yes,yes,Yes,10,650,Yes,13.6,650,,,,10/01/2021 (phone)
438,Mt. Baker Planned Parenthood: Mount Vernon Health Center,,,"1805 E Division Street, Mount Vernon, WA 98274",1805 E Division Street,Mount Vernon,WA,98274,48.4211,-122.319,(360) 848-0583,https://www.plannedparenthood.org/health-center/washington/mount-vernon/98274/mount-vernon-health-center-2843-91780,yes,yes,Yes,10,650,Yes,13.6,650,,,,10/01/2021 (phone)
439,My Choice Medical Center: Los Angeles,,,"4903 W. Pico Blvd. #202, Los Angeles, CA 90019",4903 W. Pico Blvd. #202,Los Angeles,CA,90019,34.0481,-118.344,(866) 397-3070,http://www.mychoicemedicalcenter.com/,yes,yes,Yes,9,700,Yes,14,750,926,,,9/24/2021 (phone)
440,My Choice Medical Center: Van Nuys,,,"7232 Van Nuys Blvd. Suite 202, Van Nuys, CA 91405",7232 Van Nuys Blvd. Suite 202,Van Nuys,CA,91405,34.2022,-118.449,(866) 397-3070,http://www.mychoicemedicalcenter.com/,yes,yes,Yes,9,700,Yes,14,750,926,,,9/24/2021 (phone)
442,NOVA Women's Healthcare,,,"10400 Eaton Place, Suite 515, Fairfax, VA 22030","10400 Eaton Place, Suite 515",Fairfax,VA,22030,38.8612,-77.3051,(703) 691-4141,www.novahc.com,no,no,,,433,,,450,850,,2013,8/1/19
443,NYC Health and Hospital: Elmhurst Hospital,,,"79-01 Broadway, Elmhurst, NY 11373",79-01 Broadway,Elmhurst,NY,11373,40.7444,-73.8859,(718) 334-4000,http://www.nychealthandhospitals.org/elmhurst/html/services/women.shtml,yes,no,No,,580,No,20,580,600,,,12/28/21
444,NYC Health and Hospitals: Bellevue Hospital,,,"462 First Avenue (New Ambulatory Care Building), 4th Floor, Room 4023, New York, NY 10016","462 First Avenue (New Ambulatory Care Building), 4th Floor, Room 4023",New York,NY,10016,40.7394,-73.9766,(212) 562-4141,http://www.nychealthandhospitals.org/bellevue/html/services/women-health.shtml#3,yes,no,No,10,580,No,24,580,600,,,12/28/21
445,NYC Health and Hospitals: Coney Island Hospital,,,"2601 Ocean Parkway, Brooklyn, NY 11235",2601 Ocean Parkway,Brooklyn,NY,11235,40.5866,-73.9658,(844) 872-6639,http://www.nyc.gov/html/hhc/coneyisland/html/home/home.shtml,yes,no,No,,580,No,12,580,600,,,12/28/21
446,NYC Health and Hospitals: Harlem Hospital Center,,,"506 Lenox Avenue, New York, NY 10037",506 Lenox Avenue,New York,NY,10037,40.8145,-73.9404,(212) 939-1000,http://www.nyc.gov/html/hhc/harlem/html/services/women-health.shtml,yes,no,,,580,No,,580,600,,,12/28/21
447,NYC Health and Hospitals: Jacobi Medical Center,,,"1400 Pelham Parkway South, Bldg. 5, 7th Floor, Bronx, NY 10461","1400 Pelham Parkway South, Bldg. 5, 7th Floor",Bronx,NY,10461,40.8574,-73.8465,(718) 918-5351/(718)918-4358,https://www.nychealthandhospitals.org/jacobi/our-services/womens-health/,yes,no,,,580,,,580,600,,,12/28/21
449,NYC Health and Hospitals: Lincoln Hospital Women's Health Services,,,"234 East 149th Street, Bronx, NY 10451",234 East 149th Street,Bronx,NY,10451,40.8176,-73.9239,(718)579-5806,http://www.nychealthandhospitals.org/lincoln/clinical-services/womens-health/,yes,yes,Yes,8,580,Yes,24,580,600,,,12/28/21
450,NYC Health and Hospitals: Metropolitan Hospital,,,"1901 First Avenue, New York, NY 10029",1901 First Avenue,New York,NY,10029,40.7846,-73.9438,(212) 423-6262,http://www.nychealthandhospitals.org/metropolitan/html/services/women.shtml,yes,yes,No,,580,Yes,20,580,600,,,12/29/21
451,NYC Health and Hospitals: North Central Bronx Hospital,,,"3424 Kossuth Avenue, Bronx, NY 10467",3424 Kossuth Avenue,Bronx,NY,10467,40.8805,-73.8816,(718) 519-3333,http://www.nychealthandhospitals.org/northcentralbronx/html/services/women.shtml,yes,yes,Yes,9,580,Yes,24,580,600,,,12/29/21
453,"National Women's Health Organization of Raleigh, Inc.",,,"3613 Haworth Dr, Raleigh, NC, 27609",3613 Haworth Dr,Raleigh,NC,27609,35.8301,-78.6343,(919) 783-0444,http://www.gynpages.com/rwho/,no,no,,,425,,,425,465,,2010,12/29/21
454,Nevada Women's Care,,,"1701 Green Valley Parkway, Building 3, Suite B, Henderson, NV 89074","1701 Green Valley Parkway, Building 3, Suite B",Henderson,NV,89074,36.0346,-115.085,(702) 737-3200,http://www.nevadawomenscare.com/,yes,no,No,,600,No,,860,,,,7/20/2021 (web only)
455,New Woman All Women Health Clinic,,,"1001 17th St. South, Birmingham, AL 35205",1001 17th St. South,Birmingham,AL,35205,33.4999,-86.8014,(205) 933-1118,,no,no,,,600,,,700,800,,2012,7/12/2021 (web only)
456,New Womens Clinic,,,"419 San Pedro Ave, San Antonio, TX 78212",419 San Pedro Ave,San Antonio,TX,78212,29.4372,-98.4971,(210) 225-5872,,no,no,,,650,,,715,850,,,12/29/21
457,New World Medical Choice / Women's Health Inc.,,,"2020 SW 1st St Miami, FL 33135",2020 SW 1st St Miami,Miami,FL,33135,25.7715,-80.2284,(305) 541-0109,https://plus.google.com/110826712845269251247/about?gl=us&hl=en,no,no,,,543,,,550,650,,,7/26/2021 (web only)
458,New York OB/GYN Associates,,,"92-29 Queens Boulevard, Suite C-A, Rego Park, NY 11374","92-29 Queens Boulevard, Suite C-A",Rego Park,NY,11374,40.7323,-73.8669,(718) 575-5500,,no,no,,,580,,,580,600,,,12/28/21
